cnvcAirport3Code,cnvcName,cnvcEnglishName,cnvcPinYin,cnvcShortPinYin,cniNationTypeID
QPJ,佩克斯,Pecs,PeiKeSi,PKS,2
QSZ,莎车,QSZ,ShaChe,SC,1
RDU,罗利,Raleighdurha,LuoLi,LL,2
REC,累西腓,Recife,leixifei,LXZ,2
REP,暹粒国际机场,Siem Reap Intl,ZuoLiGuoJiJiChang,ZLGJJC,2
RGN,仰光,Yangoon,YangGuang,YG,2
RIC,里士满,Richmond,LiShiMan,LSM,2
RIX,里加,Riga ,LiJia,LJ,2
RIZ,日照,Riz,RIZ,RZ,1
RJK,里耶卡,Rijeka,LiYeKa,LYK,2
RLK,巴彦淖尔,Bayannaoer,BaYanNaoEr,BYNE,1
RMQ,台中,Taizhong,TaiZhong,TZ,2
RNO,里诺,Reno,LiNuo,LN,2
RNS,雷恩,Rennes,LeiEn,LE,2
ROB,蒙罗维亚,Monrovia,MengLuoWeiYa,MLWY,2
ROC,罗切斯特,Rochester,LuoQieSiTe,LQST,2
ROV,罗斯托夫,Rostov,LuoSiTuoFu,LSTF,2
RTM,鹿特丹,Rotterdam,LuTeDan,LTD,2
RUH,利亚德,Riyadh,LiYaDe,LYD,2
SAH,萨那,Sanaa,YeMen,SN,2
SAL,圣萨尔瓦多国际机场,El Salvador,KeMaLaPaGuoJiJiChang,SSEWDGJJC,2
SAN,圣地亚哥,Sandiego,ShengDiYaGe,SDYG,2
SAP,拉蒙罗亚坦机场,Ramon Villeda Morales,LaMengLuoYaTanJiChang,LMLYTJC,2
SAT,圣安东尼奥,San Antonio,ShengAnDongNiAo,SADNA,2
SBN,南本德,South Bend,NanBenDe,NBD,2
SCL,圣地亚哥城,Santiago,ShengDiYaGeCheng,SDYGC,2
SCN,萨尔布吕肯,Saarbrucken,SaErBuLvKen,SEBLK,2
SDF,路易斯维尔,Louisville,LuYiSiWeiEr,LYSWE,2
SDJ,山形,Sendai,ShanXing,SX,2
SDQ,圣多明戈,Santo Domingo,ShengDuoMingGe,SDMG,2
SEA,西雅图,Seattle,XiYaTu,XYT,2
SFO,旧金山,Sanfrancico,JiuJinShan,JJS,2
SGN,胡志明市,Hochiminh,HuZhiMingShi,HZMS,2
SHA,上海虹桥,Shanghai,ShangHaiHongQiao,SHHQ,1
SHE,沈阳,Shenyang,ShenYang,SY,1
SHF,花园机场,SHF,Huayuan,HYJC,1
SHJ,沙迦,Sharjah,ShaZuo,SZ,2
SHP,秦皇岛,Qinhuangdao,QinHuangDao,QHD,1
SHS,荆州,Shashi,JingZhou,JZ,1
SHV,什里夫波特,Shreveport,ShiLiFuBoTe,SLFBT,2
SIN,新加坡,Singapore,XinJiaPo,XJP,2
SIP,辛菲罗波尔,Simferopol,XinFeiLuoBoEr,XFLBE,2
SJC,圣何塞,San Jose,ShengHeSai,SHS,2
SJJ,萨拉热窝,Bosnia,SaLaReWo,SLRW,2
SJK,圣若泽杜斯坎普斯,Saojosedosca,ShengRuoZeDuSiKanPuSi,SRZDSKPS,2
SJO,圣玛利亚机场,Aeropuerto,HuAn,SMLYJC,2
SJU,圣胡安国际机场,Luis Munoz Marin,ShengHuAnGuoJiJiChang,SHAGJJC,2
SJW,石家庄,Shijiazhuang,ShiJiaZhuang,SJZ,1
SKG,塞萨洛尼基,Thessaloniki,SaiSaLuoNiJi,SSLNJ,2
SKP,斯科普里,Skopje,SiKePuLi,SKPL,2
SLC,盐湖城,Salt Lake City,YanHuCheng,YHC,2
SLZ,圣路易斯,Saoluiz,ShengLuYiSi,SLYS,2
SMF,萨克拉门托,Sacramento,SaKeLaMenTuo,SKLMT,2
SNN,香浓,Shannon,XiangNong,XN,2
SOF,索非亚,Sofia,SuoFeiYa,SFY,2
SPC,圣克鲁斯-德拉帕尔马,Santa Cruz Palma,ShengKeLuSi-DeLaPaErMa,SKLS-DLPEM,2
SPL,阿姆斯特丹史基浦,Amsterdam?Schiphol,AMuSiTeDanShiJiPu,AMSTDSJP,2
SPN,塞班,Francisco C. Ada,SaiBan,SB,2
SPU,斯普利特,Split,SiPuLiTe,SPLT,2
SQJ,三明,Sanming Shaxian,SanMingShaXianJiChang,SM,1
SSA,萨尔瓦多,Salvador,SaErWaDuo,SEWD,2
SSG,马拉博,Malabo,MaLaBo,MLB,2
SSS,莫斯科的MASH库房,Mash,MoSiKeDeMASHKuFang,MSKDMASHKF,2
STL,圣路易斯,Saint Louis,ShengLuYiSi,SLYS,2
STN,斯坦斯特德,STANSTED,SiTanSiTeDe,STSTD,2
STO,斯德哥尔摩,Stockholm,SiDeGeErMo,SDGEM,2
STR,斯图加特,Stuttgart,SiTuJiaTe,STJT,2
STT,圣托马斯,Saint Thomas,ShengTuoMaSi,STMS,2
SUB,泗水,Surabaya,ZuoShui,ZS,2
SUN,遂宁,Suining,SuiNing,SN,1
SVA,SVO1,Cangku1,s1,SVO1,2
SVG,斯塔凡格,Stavanger,SiTaFanGe,STFG,2
SVO,莫斯科,Moskva,MoSiKe,MSK,2
SVQ,塞维利亚,Sevilla,SaiWeiLiYa,SWLY,2
SVX,叶卡捷琳堡,Ekaterinburg,YeKaJieLinBao,YKJLB,2
SWA,揭阳潮汕,Shantou,ShanTou,JYCS,1
SWF,纽堡,Newburgh,NiuBao,NB,2
SXB,斯特拉斯堡,Strasbourg,SiTeLaSiBao,STLSB,2
SXF,舍讷费尔德机场,Schoenefeld,BaiLin,SZFEDJC,2
SYD,悉尼,Sydney,XiNi,XN,2
SYM,思茅,Simao,SiMao,SM,1
SYR,锡拉库扎,Syracuse,XiLaKuZha,XLKZ,2
SYX,三亚,Sanya,SanYa,SY,1
SZG,萨尔茨堡,Salzburg,SaErCiBao,SECB,2
SZV,苏州,Suzhou,SuZhou,SZ,1
SZX,深圳,Shenzhen,ShenZhen,SZ,1
TAE,大邱,Taegu,DaQiu,DQ,2
TAO,青岛,Qingdao,QingDao,QD,1
TAS,塔什干,Tashkent,TaShiGan,TSG,2
TBS,第比利斯,Tbilisi,DiBiLiSi,DBLS,2
TCG,塔城,Tacheng,TaCheng,TC,1
TCI,特内里费,Tenerife,TeNeiLiFei,TNLF,2
TCZ,腾冲,Tengchong,TengChong,TC,1
TDG,菲律宾,Tandag,FeiLvBin,FLB,2
TEN,铜仁,Tongren,TongRen,TR,1
TFN,特内里费-北,Tenerife-N,TeNeiLiFei-Bei,TNLF-B,2
TFS,特内里费-南,Tenerife-S,TeNeiLiFei,TNLF-N,2
TGD,波德戈里察,Podgorica,BoDeGeLiCha,BDGLC,2
TGO,通辽,Tongliao,TongLiao,TL,1
TGU,特古西加尔巴机场,Toncontin ,TeGuXiJiaErBaJiChang,TGXJEBJC,2
THQ,甘肃,Tianshui,GanSu,GS,1
TIA,地拉那,Tirana,DiLaNa,DLN,2
TJM,秋明,Tyumen,QiuMing,QM,2
TLL,塔林,Tallinn,TaLin,TL,2
TLQ,吐鲁番,Tulufan,TuLuFan,TLF,1
TLS,图鲁兹,Toulouse Blagnac,TuLuZi,TLZ,2
TLV,特拉维夫,Ben Gurion,YiSeLie,TLWF,2
TML,塔美尔,Tameier,TaMeiEr,TME,2
TNA,济南,Jinan,JiNan,JN,1
TNH,通化,Tonghua,TongHua,TH,1
TNN,台南,Tainan,TaiNan,TN,1
TOL,托莱多,Toledo,TuoLaiDuo,TLD,2
TPA,坦帕,Tampa,TanPa,TP,2
TPE,台北,Taibei,TaiBeiTaoYuan,TB,2
TRD,特隆赫姆,Trondheim,TeLongHeMu,TLHM,2
TRN,都灵,Turin,DuLing,DL,2
TRS,的里雅斯特,Trieste,DeLiYaSiTe,DLYST,2
TRV,特里瓦得琅机场,Trivandrum,TeLiWaDeLangJiChang,TLWDLJC,2
TSA,台北松山,Taibei,TaiBeiSongShan,TBSS,2
TSE,阿斯塔纳,Aqmola,ASiTaNa,ASTN,2
TSN,天津,Tianjin,TianJin,TJ,1
TSR,蒂米什瓦拉,Timisoara,DiMiShiWaLa,DMSWL,2
TTG,台东丰年,Taidong,TaiDongFengNian,TDFN,1
TUL,塔尔萨,Tulsa,TaErSa,TES,2
TUN,突尼斯,Tunis,TuNiSi,TNS,2
TUS,图森,Tucson,TuSen,TS,2
TVC,特拉弗斯城机场,Traverse,TeLaFuSiChengJiChang,TLFSCJC,2
TVL,太浩湖,Lake Tahoe ,TaiHaoHu,THH,2
TVS,唐山,Tangshan,TangShan,TS,1
TXG,台中清泉岗,Qingquangang,TaiZhongQingQuanGang,TZQQG,2
TXL,柏林,Bbi,BaiLin,BL,2
TXN,黄山,Huangshan,HuangShan,HS,1
TYN,太原,Taiyuan,TaiYuan,TY,1
TYS,诺克斯维尔,Knoxville,NuoKeSiWeiEr,NKSWE,2
UCB,集宁,Jiningg,jining,JN,1
UFA,乌法,Ufa,WuFa,WF,2
UIO,基多,Quito,JiDuo,JD,2
UKB,神户,Kobe,ShenHu,SH,2
ULN,乌兰巴托,Ulan Bator,WuLanBaTuo,WLBT,2
URC,乌鲁木齐,Urumqi,WuLuMuQi,WLMQ,1
USM,苏梅,Koh Samui,SuMei,SM,2
UTP,乌塔堡,U-Tapao Intl,BanWuTaBao,WTB,2
UYN,榆林,Yulin,YuLin,YL,1
VAR,保加利亚,Varna,BaoJiaLiYa,BJLY,2
VCE,威尼斯,Venice,WeiNiSi,WNS,2
VCP,坎皮纳斯国际机场,Viracopos-Campinas,KanPiNaSiGuoJiJiChang,KPNSGJJC,2
VIE,维也纳,Vienna,WeiYeNa,WYN,2
VKO,莫斯科伏努科沃机场,Vnukovo,MoSiKeFuNuKeWoJiChang,MSKFNKWJC,2
VLC,瓦伦西亚,Valencia,WaLunXiYa,WLXY,2
VLV,瓦尔拉,Walras,WaErLa,WEL,2
VNO,维尔纽斯,Vilnius,WeiErNiuSi,WENS,2
VRA,瓦拉德,Varadero,WaLaDe,WLD,2
VRN,维罗纳,Verona,WeiLuoNa,WLN,2
VTE,万象,Wattay Intl,WanXiang,WX,2
VVO,符拉迪沃斯托克(克涅维奇),Vladivostok(Knevichi),FuLaDiWoSiTuoKe(KeNieWeiQi),FLDWSTK(KNWQ),2
WAW,华沙,Warsaw,HuaSha,HS,2
WDS,十堰,Wds,WDS,SY,1
WEF,潍坊,Weifang,WeiFang,WF,1
WEH,威海,Weihai,WeiHai,WH,1
WHU,芜湖,Wuhu,WuHu,WH,1
WJD,王家墩,Wuhan,WangJiaDun,WJD,1
WLG,惠灵顿,Wellington,HuiLingDun,HLD,2
WNH,文山,Wenshan,WenShan,WS,1
WNZ,温州,Wenzhou,WenZhou,WZ,1
WRO,弗罗莰瓦夫机场,Wroclaw,FuLuoZuoWaFuJiChang,FLZWFJC,2
WUA,乌海,Wuhai,WuHai,WH,1
WUH,武汉,Wuhan,WuHan,WH,1
WUS,武夷山,Wuyishan,WuYiShan,WYS,1
WUT,五台山,Wutaishan,WuTaiShan,WTS,1
WUX,无锡,Wuxi,WuXi,WX,1
WUZ,梧州,Wuzhou,WuZhou,WZ,1
WXN,万县,Wanxian,WanXian,WX,1
XCR,巴黎瓦提机场,Paris Watti Airport,BaLiWaTiJiChang,BLWTJC,2
XEN,兴城,Xingcheng,XingCheng,XC,1
XFN,襄樊,Xiangfan,XiangYang,XF,1
XFW,温肯维德,Finkenwerder,WenKenWeiDe,WKWD,2
XIC,西昌,Xichang,XiChang,XC,1
XIL,锡林浩特,Xilinhot,XiLinHaoTe,XLHT,1
XIY,西安,Xian,XiAn,XA,1
XMN,厦门,Xiamen,XiaMen,XM,1
XNN,西宁,Xining,XiNing,XN,1
XNT,邢台,Xingtai,XingTai,XT,1
XSP,新加坡实里达,Seletar,XinJiaPo,XJPSLD,2
XUZ,徐州,Xuzhou,XuZhou,XZ,1
XXX,其他,Other,QiTa,QT,1
XYI,永兴,YONGXING,YONGXING,YX,1
YBP,宜宾,Yibin,YiBin,YB,1
YCU,运城,Yuncheng,YunCheng,YC,1
YEG,埃德蒙顿,Edmonton,AiDeMengDun,ADMD,2
YGJ,美保-米子,MIHO,MeiBao-MiZi,MB-MZ,2
YHM,哈密尔顿,Hamilton,hamierdun,HMED,2
YHZ,哈利法克斯,Halifax,HaLiFaKeSi,HLFKS,2
YIC,宜春,Yichun,YiChunJiChang,YC,1
YIE,阿尔山,Aershan,AErShan,AES,1
YIH,宜昌,Yichang,YiChang,YC,1
YIN,伊宁,Yining,YiNing,YN,1
YIW,义乌,Yiwu,YiWu,YW,1
YKH,兰旗,Lanqi,LANQI,LQ,1
YNJ,延吉,Yanji,YanJi,YJ,1
YNQ,YNQ,Ynq,YNQ,YNQ,1
YNT,烟台,Yantai,YanTai,YT,1
YNZ,盐城,Yancheng,YanCheng,YC,1
YOW,渥太华,Ottawa,ZuoTaiHua,ZTH,2
YQM,蒙克顿,Moncton,MengKeDun,MKD,2
YQR,里贾纳,Regina,LiJiaNa,LJN,2
YSJ,圣约翰,Sanit John,ShengYueHan,SYH,2
YSL,圣隆纳德,Saint Leonard,ShengLongNaDe,SLND,2
YSQ,查干湖,CHAGANHU,ChaGanHu,CGH,1
YTY,扬州,Yangzhou,YangZhou,YZ,1
YUA,元谋,Yuanmou,YuanMou,YM,1
YUL,蒙特利尔,Montreal,MengTeLiEr,MTLE,2
YUS,玉树,Yushu,YuShu,YS,1
YVR,温哥华,Vancouver,WenGeHua,WGH,2
YWG,温尼贝格,Winnipeg,WenNiBeiGe,WNBG,2
